id;name;email;password;role
1;Soap auxiliary drive;Adalberto_Yost52@yahoo.com;wireless;ADMIN
2;customized Agent Bedfordshire;Brooklyn_Kling23@hotmail.com;JSON input;ADMIN
3;Franc withdrawal Customer-focused;Faustino_Muller@yahoo.com;copying;ADMIN
4;Senior initiatives;Ona45@yahoo.com;Investor;USER
5;Versatile;Elenora_Dare@gmail.com;optical Dynamic Officer;ADMIN
6;Solomon markets generate;Rhett_Cummerata88@yahoo.com;sticky parse;ADMIN
7;Forward Squares;Burnice.Collins@yahoo.com;Massachusetts microchip;ADMIN
8;optical;Nat_Kemmer79@gmail.com;Decentralized Turkish;ADMIN
9;Cotton Money US;Cameron66@hotmail.com;hack Function-based;USER
10;Money;Major.Cummerata@gmail.com;parsing Rest;ADMIN
